sampno,perno,wtperfin
20000083,1,898.2225
20000136,1,639.9999
20000136,2,639.9999
20000136,3,639.9999
20000228,1,119.0781
20000248,1,659.9998
20000248,2,659.9998
20000248,3,659.9998
20000300,1,70.4034
20000412,1,639.7915
20000471,1,118.945
20000471,2,118.945
20000589,1,217.622
20000589,2,217.622
20000752,1,659.9998
20000752,2,659.9998
20000752,3,659.9998
20000752,4,659.9998
20000894,1,118.7171
20000999,1,118.6911
20001025,1,70.4019
20001025,2,70.4019
20001516,1,101.7067
20001516,2,101.7067
20001619,1,130.8416
20001619,2,130.8416
20001880,1,103.1842
20001880,2,103.1842
20001880,3,103.1842
20001880,4,103.1842
20001882,1,126.8757
20001889,1,525.6449
20001965,1,118.7276
20001965,2,118.7276
20002017,1,72.668
20002218,1,118.8063
20002266,1,72.8254
20002368,1,1644.1289
20002368,2,1644.1289
20002368,3,1644.1289
20002411,1,73.0656
20002411,2,73.0656
20002535,1,72.563
20002650,1,70.424
20002772,1,72.5676
20002772,2,72.5676
20002935,1,100.4722
20002935,2,100.4722
20002935,3,100.4722
20003187,1,70.7975
20003187,2,70.7975
20003264,1,130.6896
20003264,2,130.6896
20003264,3,130.6896
20003341,1,102.39
20003341,2,102.39
20003341,3,102.39
20003355,1,116.8539
20003355,2,116.8539
20003387,1,61.9063
20003387,2,61.9063
20003484,1,102.6933
20003484,2,102.6933
20003623,1,638.3605
20003658,1,470.7138
20003716,1,1634.9977
20003738,1,93.7936
20003738,2,93.7936
20003738,3,93.7936
20003738,4,93.7936
20003738,5,93.7936
20003738,6,93.7936
20003996,1,557.9118
20004042,1,61.4764
20004042,2,61.4764
20004042,3,61.4764
20004042,4,61.4764
20004111,1,118.8752
20004180,1,812.0025
20004180,2,812.0025
20004206,1,91.7513
20004206,2,91.7513
20004260,1,60.4709
20004260,2,60.4709
20004260,3,60.4709
20004260,4,60.4709
20004327,1,68.7944
20004327,2,68.7944
20004358,1,70.4019
20004409,1,112.0467
20004536,1,470.7138
20004710,1,62.7706
20004710,2,62.7706
20004710,3,62.7706
20005186,1,1729.4841
20005306,1,899.6164
20005306,2,899.6164
20005317,1,93.7902
20005317,2,93.7902
20005351,1,122.9993
20005351,2,122.9993
