sampno,perno,traveldayno,placeno,work_chain,shop_chain,home_to_work,work_to_work,work_to_home,home_to_shop,shop_to_shop,shop_to_home
70039241,1,1,1,0,8,0,0,0,1,0,0
70039241,1,1,2,0,8,0,0,0,1,0,0
70039241,1,1,3,0,8,0,0,0,0,1,0
70039241,1,1,4,0,8,0,0,0,0,1,0
70039241,1,1,5,0,8,0,0,0,0,1,0
70039241,1,1,6,0,8,0,0,0,0,1,0
70039241,1,1,7,0,8,0,0,0,0,1,0
70039241,1,1,8,0,8,0,0,0,0,1,0
70039241,1,1,9,0,8,0,0,0,0,1,0
70039241,1,1,10,0,8,0,0,0,0,0,1
70003919,2,1,3,0,7,0,0,0,1,0,0
70003919,2,1,4,0,7,0,0,0,1,0,0
70003919,2,1,5,0,7,0,0,0,0,1,0
70003919,2,1,6,0,7,0,0,0,0,1,0
70003919,2,1,7,0,7,0,0,0,0,1,0
70003919,2,1,8,0,7,0,0,0,0,1,0
70003919,2,1,9,0,7,0,0,0,0,1,0
70003919,2,1,10,0,7,0,0,0,0,1,0
70003919,2,1,11,0,7,0,0,0,0,1,0
70003919,2,1,12,0,7,0,0,0,0,0,1
70038925,1,1,1,1,7,1,0,0,1,0,0
70038925,1,1,2,1,7,1,0,0,1,0,0
70038925,1,1,3,1,7,1,0,0,1,0,0
70038925,1,1,4,1,7,1,0,0,0,1,0
70038925,1,1,5,1,7,1,0,0,0,1,0
70038925,1,1,6,1,7,1,0,0,0,1,0
70038925,1,1,7,1,7,1,0,0,0,1,0
70038925,1,1,8,1,7,1,0,0,0,1,0
70038925,1,1,9,1,7,0,0,1,0,1,0
70038925,1,1,10,1,7,0,0,1,0,1,0
70038925,1,1,11,1,7,0,0,1,0,1,0
70038925,1,1,12,1,7,0,0,1,0,0,1
70030116,1,1,1,2,6,1,0,0,1,0,0
70030116,1,1,2,2,6,1,0,0,1,0,0
70030116,1,1,3,2,6,1,0,0,1,0,0
70030116,1,1,4,2,6,1,0,0,1,0,0
70030116,1,1,5,2,6,0,1,0,1,0,0
70030116,1,1,6,2,6,0,0,1,1,0,0
70030116,1,1,7,2,6,0,0,1,0,1,0
70030116,1,1,8,2,6,0,0,1,0,1,0
70030116,1,1,9,2,6,0,0,1,0,1,0
70030116,1,1,10,2,6,0,0,1,0,1,0
70030116,1,1,11,2,6,0,0,1,0,1,0
70030116,1,1,12,2,6,0,0,1,0,0,1
70033178,1,1,1,1,6,1,0,0,1,0,0
70033178,1,1,2,1,6,1,0,0,1,0,0
70033178,1,1,3,1,6,1,0,0,1,0,0
70033178,1,1,4,1,6,1,0,0,1,0,0
