sampno,locno,perno,loctype,city
20000083,10000,-1,1,WHEELING
20000083,10002,1,2,NORTHBROOK
20000083,10401,-1,4,NORTHFIELD
20000083,10402,-1,4,BUFFALO GROVE
20000083,10403,-1,4,WHEELING
20000083,10404,-1,4,WHEELING
20000083,10406,-1,4,WHEELING
20000083,2000059,-1,100,SCHAUMBURG
20000083,2000060,-1,100,WHEELING
20000083,2000062,-1,100,SCHAUMBURG
20000083,2000064,-1,100,SCHAUMBURG
20000136,10000,-1,1,CHICAGO
20000136,10002,1,2,CHICAGO
20000136,10401,-1,4,CHICAGO
20000136,10402,-1,4,CHICAGO
20000136,10406,-1,4,CHICAGO
20000136,10407,-1,4,CHICAGO
20000136,20002,2,2,CHICAGO
20000228,10000,-1,1,CHICAGO
20000228,10401,-1,4,CHICAGO
20000228,10403,-1,4,MUNSTER
20000228,10404,-1,4,CHICAGO
20000228,10405,-1,4,CHICAGO
20000228,2000022,-1,100,CHICAGO
20000228,2000023,-1,100,CHICAGO
20000228,2000024,-1,100,CHICAGO
20000228,2000026,-1,100,CHICAGO
20000228,2000027,-1,100,CHICAGO
20000228,2000028,-1,100,CHICAGO
20000248,10000,-1,1,CHICAGO
20000248,10401,-1,4,CHICAGO
20000248,10403,-1,4,CHICAGO
20000248,10407,-1,4,CHICAGO
20000248,1000000,-1,97,CHICAGO
20000248,1000001,-1,97,CHICAGO
20000300,10000,-1,1,CHICAGO
20000300,10002,1,2,CHICAGO
20000300,10404,-1,4,CHICAGO
20000300,2000011,-1,100,CHICAGO
20000300,2000017,-1,100,CHICAGO
20000300,2000031,-1,100,CHICAGO
20000300,2000040,-1,100,CHICAGO
20000300,2000041,-1,100,CHICAGO
20000300,2000053,-1,100,CHICAGO
20000300,2000054,-1,100,CHICAGO
20000300,2000055,-1,100,CHICAGO
20000300,2000056,-1,100,CHICAGO
20000300,2000059,-1,100,CHICAGO
20000300,2000060,-1,100,CHICAGO
20000300,2000062,-1,100,CHICAGO
20000300,2000065,-1,100,CHICAGO
20000300,2000068,-1,100,CHICAGO
20000300,2000072,-1,100,CHICAGO
20000300,2000073,-1,100,CHICAGO
20000300,2000075,-1,100,CHICAGO
20000300,2000080,-1,100,CHICAGO
20000412,10000,-1,1,CHICAGO
20000412,10401,-1,4,CHICAGO
20000412,1000000,-1,97,CHICAGO
20000471,10000,-1,1,CHICAGO
20000471,10401,-1,4,EVERGREEN PAR
20000471,10402,-1,4,CHICAGO
20000471,10403,-1,4,CHICAGO
20000471,10405,-1,4,CHICAGO
20000471,2000004,-1,100,CHICAGO
20000471,2000009,-1,100,CHICAGO
20000471,2000031,-1,100,CHICAGO
20000471,2000033,-1,100,CALUMET CITY
20000471,2000035,-1,100,EVERGREEN PAR
20000471,2000036,-1,100,EVERGREEN PAR
20000471,2000037,-1,100,CHICAGO
20000589,10000,-1,1,HIGHLAND PARK
20000589,10401,-1,4,HIGHLAND PARK
20000589,10402,-1,4,HIGHLAND PARK
20000589,10403,-1,4,HIGHLAND PARK
20000589,10404,-1,4,HIGHLAND PARK
20000589,1000000,-1,97,NORTHBROOK
20000589,1000001,-1,97,DEERFIELD
20000752,10000,-1,1,CHICAGO
20000752,10401,-1,4,CHICAGO
20000752,20002,2,2,CHICAGO
20000752,30003,3,3,CHICAGO
20000752,40003,4,3,CHICAGO
20000752,2000002,-1,100,CHICAGO
20000752,2000003,-1,100,EVANSTON
20000752,2000011,-1,100,CHICAGO
20000752,2000013,-1,100,CHICAGO
20000752,2000018,-1,100,CHICAGO
20000752,2000020,-1,100,LINCOLNWOOD
20000752,2000027,-1,100,LINCOLNWOOD
20000894,10000,-1,1,CHICAGO
20000894,10401,-1,4,CHICAGO
20000894,10403,-1,4,WHITING
20000894,10405,-1,4,CHICAGO
20000894,1000000,-1,97,CHICAGO
20000894,1000001,-1,97,CHICAGO
20000894,1000002,-1,97,OAK LAWN
20000894,1000003,-1,97,OAK LAWN
20000894,1000004,-1,97,CHICAGO
20000999,10000,-1,1,CHICAGO
20000999,10401,-1,4,CHICAGO
20000999,10402,-1,4,CHICAGO
20001025,10000,-1,1,CHICAGO
20001025,10002,1,2,CHICAGO
20001025,10401,-1,4,CHICAGO
20001025,10405,-1,4,CHICAGO
20001025,20002,2,2,CHICAGO
20001025,2000001,-1,100,CHICAGO
20001025,2000008,-1,100,CHICAGO
20001025,4000001,-1,100,Chicago
20001516,10000,-1,1,DES PLAINES
20001516,10002,1,2,CHICAGO
20001516,10401,-1,4,DES PLAINES
20001516,20002,2,2,CHICAGO
20001516,1000002,-1,97,DES PLAINES
20001516,1000003,-1,97,DES PLAINES
20001516,1000004,-1,97,CHICAGO
20001619,10000,-1,1,EVANSTON
20001619,10002,1,2,EVANSTON
20001619,10401,-1,4,EVANSTON
20001619,10404,-1,4,EVANSTON
20001619,10408,-1,4,EVANSTON
20001619,20003,2,3,EVANSTON
20001880,10000,-1,1,EVANSTON
20001880,10002,1,2,LAKE BLUFF
20001880,10401,-1,4,SKOKIE
20001880,10403,-1,4,HIGHLAND PARK
20001880,20002,2,2,CHICAGO
20001880,1000000,-1,97,EVANSTON
20001880,1000001,-1,97,CHICAGO
20001882,10000,-1,1,CHICAGO
20001882,10401,-1,4,CHICAGO
20001882,10402,-1,4,CHICAGO
20001882,10403,-1,4,CHICAGO
20001882,10404,-1,4,CHICAGO
20001882,10406,-1,4,CHICAGO
20001882,2000006,-1,100,CHICAGO
20001882,2000012,-1,100,CHICAGO
20001882,2000015,-1,100,CHICAGO
20001882,2000017,-1,100,CHICAGO
20001882,2000024,-1,97,CHICAGO
20001882,2000025,-1,97,CHICAGO
20001889,10000,-1,1,ROLLING MEADO
20001889,10002,1,2,MORTON GROVE
20001889,10003,1,3,ROLLING MEADO
20001889,10401,-1,4,ROLLING MEADO
20001889,10402,-1,4,SCHAUMBURG
20001889,10403,-1,4,ARLINGTON HEI
20001889,10406,-1,4,ARLINGTON HEI
