sampno,hhsize,hhveh,hhinc,hhinc_orig,wkrs,hhage,hhrace,lifecycle_type,au_suff,full_fips,COUNTY,CHICAGO,CBDX,GEOID10,rs2,rs,cluster
20000083,1,1,7,7,1,45,1,4,2,17031802403,17031,0,0,1703415,3NW,3NW,4
20000136,3,1,9,9,2,33,1,1,1,17031081402,17031,1,1,1703525,1,1,1
20000228,1,1,10,10,1,50,6,4,2,17031842500,17031,1,0,1703528,2S,2S,3
20000248,3,1,1,1,0,61,1,8,2,17031031502,17031,1,0,1703501,2N,2N,2
20000300,1,0,6,6,1,30,1,3,0,17031081300,17031,1,1,1703525,1,1,1
20000412,1,0,1,1,0,65,2,5,0,17031842900,17031,1,0,1703524,1,1,1
20000471,2,1,7,7,0,67,2,8,2,17031730100,17031,1,0,1703530,2S,2S,3
20000589,2,2,9,9,0,82,1,8,2,17097865700,17097,0,0,1703310,4N,4N,7
20000752,4,1,8,8,1,40,1,2,2,17031020801,17031,1,0,1703503,2N,2N,2
20000894,1,1,2,2,1,64,2,4,2,17031450300,17031,1,0,1703531,2S,2S,3
20000999,1,0,1,1,0,47,2,4,0,17031430900,17031,1,0,1703529,2S,2S,3
20001025,2,1,8,8,2,28,1,6,1,17031240900,17031,1,0,1703524,2WNW,2WNW,1
20001516,2,4,9,9,2,31,1,6,2,17031806300,17031,0,0,1703420,2NW,2NW,4
20001619,2,0,8,8,1,32,1,1,0,17031809500,17031,0,0,1703421,2N,2N,4
20001880,4,2,10,10,2,39,1,1,2,17031808900,17031,0,0,1703421,3N,3N,4
20001882,1,1,3,3,1,38,1,4,2,17031301100,17031,1,0,1703523,2WSW,2WSW,1
20001889,1,1,5,5,1,62,1,4,2,17031803902,17031,0,0,1703401,3NW,3NW,4
20001965,2,1,2,2,0,62,-8,7,2,17031560300,17031,1,0,1703527,2SW,2SW,3
20002017,1,1,8,8,1,47,3,4,2,17031030702,17031,1,0,1703501,2N,2N,2
20002218,1,0,1,1,1,65,2,5,0,17031430102,17031,1,0,1703529,2S,2S,3
20002266,1,0,1,1,0,49,1,4,0,17031030800,17031,1,0,1703501,2N,2N,2
20002368,3,3,5,5,2,61,1,7,2,17031822400,17031,0,0,1703411,3SW,3SW,6
20002411,2,1,10,10,2,57,1,7,1,17031060100,17031,1,0,1703502,2N,2N,1
20002535,1,0,3,3,1,26,1,3,0,17031030701,17031,1,0,1703501,2N,2N,2
20002650,1,1,6,6,1,25,1,3,2,17031221500,17031,1,0,1703522,2NW,2NW,1
20002772,2,1,6,6,2,60,1,7,1,17031140800,17031,1,0,1703504,2N,2N,2
20002935,3,3,10,10,2,57,1,7,2,17031802300,17031,0,0,1703416,3N,3N,4
20003187,2,1,10,10,2,27,1,6,1,17031081100,17031,1,1,1703525,1,1,1
20003264,3,2,8,8,2,33,3,7,2,17031040202,17031,1,0,1703503,2N,2N,2
20003341,3,2,9,9,2,40,1,2,2,17031100700,17031,1,0,1703422,2NW,2NW,5
20003355,2,1,7,7,2,61,1,7,1,17031804505,17031,0,0,1703417,3WNW,3WNW,10
20003387,2,2,9,9,2,64,1,8,2,17043846518,17043,0,0,1703209,3WSW,3WSW,8
20003484,2,1,8,8,2,30,1,6,1,17031804609,17031,0,0,1703418,3WNW,3WNW,4
20003623,1,0,8,8,1,35,1,4,0,17031320100,17031,1,1,1703525,1,1,1
20003658,1,1,7,7,0,68,1,5,2,17097864511,17097,0,0,1703310,4NW,4NW,7
20003716,1,0,4,4,0,62,6,4,0,17031828401,17031,0,0,1703413,3S,3S,6
20003738,6,3,7,7,2,50,4,2,2,17097861014,17097,0,0,1703306,4NW,4NW,7
20003996,1,1,3,3,1,74,1,5,2,17043845802,17043,0,0,1703204,3WSW,3WSW,8
20004042,4,2,8,8,2,49,1,2,2,17197881109,17197,0,0,1703108,4SW,4SW,11
20004111,1,1,7,7,1,48,2,4,2,17031351000,17031,1,0,1703529,2S,2S,3
20004180,2,5,10,10,2,66,1,8,2,17097864511,17097,0,0,1703310,4NW,4NW,7
20004206,2,4,10,10,2,46,1,7,2,17089854501,17089,0,0,1703009,4W,4W,9
20004260,4,2,9,9,2,52,1,2,2,17197881115,17197,0,0,1703107,4SW,4SW,11
